year,seas,fleet,catch,catch_se
-999,1,1,1208,0.05
-999,2,2,2033,0.05
-999,3,3,683,0.05
-999,4,4,223,0.05
1989,1,1,1317.94,0.05
1989,2,2,2588.65,0.05
1989,3,3,1336.25,0.05
1989,4,4,111.41,0.05
1990,1,1,2300.36,0.05
1990,2,2,1571.01,0.05
1990,3,3,1182.22,0.05
1990,4,4,765.474,0.05
1991,1,1,1049.15,0.05
1991,2,2,3692.7,0.05
1991,3,3,701.617,0.05
1991,4,4,273.876,0.05
1992,1,1,1125.13,0.05
1992,2,2,1368.15,0.05
1992,3,3,499.605,0.05
1992,4,4,3.82,0.05
1993,1,1,766.822,0.05
1993,2,2,921.209,0.05
1993,3,3,166.867,0.05
1993,4,4,105.053,0.05
1994,1,1,689.675,0.05
1994,2,2,2055.27,0.05
1994,3,3,210.042,0.05
1994,4,4,80.47,0.05
1995,1,1,185.366,0.05
1995,2,2,79.8917,0.05
1995,3,3,147.933,0.05
1995,4,4,157.423,0.05
1996,1,1,41.043,0.05
1996,2,2,807.195,0.05
1996,3,3,585.565,0.05
1996,4,4,397.607,0.05
1997,1,1,907.84,0.05
1997,2,2,1110.05,0.05
1997,3,3,2006.93,0.05
1997,4,4,588.393,0.05
1998,1,1,1781.42,0.05
1998,2,2,2175.55,0.05
1998,3,3,2909.42,0.05
1998,4,4,2715.91,0.05
1999,1,1,1638.33,0.05
1999,2,2,1994.93,0.05
1999,3,3,1615.91,0.05
1999,4,4,691.379,0.05
2000,1,1,412.156,0.05
2000,2,2,667.864,0.05
2000,3,3,673.186,0.05
2000,4,4,600.236,0.05
2001,1,1,1045.57,0.05
2001,2,2,3226.82,0.05
2001,3,3,3275.36,0.05
2001,4,4,1088.91,0.05
2002,1,1,1771.9,0.05
2002,2,2,2957.37,0.05
2002,3,3,2698.98,0.05
2002,4,4,816.013,0.05
2003,1,1,1027.35,0.05
2003,2,2,2538.97,0.05
2003,3,3,965.346,0.05
2003,4,4,416.144,0.05
2004,1,1,1384.23,0.05
2004,2,2,1976.42,0.05
2004,3,3,1521.88,0.05
2004,4,4,698.658,0.05
2005,1,1,1398.1,0.05
2005,2,2,2252.44,0.05
2005,3,3,705.5,0.05
2005,4,4,84.7802,0.05
2006,1,1,1296.9,0.05
2006,2,2,2657.27,0.05
2006,3,3,415.799,0.05
2006,4,4,19.1224,0.05
2007,1,1,1581.1,0.05
2007,2,2,2251.47,0.05
2007,3,3,1422.71,0.05
2007,4,4,360.965,0.05
2008,1,1,612.777,0.05
2008,2,2,1120.86,0.05
2008,3,3,910.274,0.05
2008,4,4,575.716,0.05
2009,1,1,533.464,0.05
2009,2,2,1280.06,0.05
2009,3,3,1015.54,0.05
2009,4,4,125.857,0.05
2010,1,1,66.8165,0.05
2010,2,2,1708.69,0.05
2010,3,3,919.885,0.05
2010,4,4,232.038,0.05
2011,1,1,1326.2,0.05
2011,2,2,2342.55,0.05
2011,3,3,2051.29,0.05
2011,4,4,571.27,0.05
2012,1,1,1158.9,0.05
2012,2,2,2433.36,0.05
2012,3,3,1219.57,0.05
2012,4,4,26.3829,0.05
2013,1,1,434.466,0.05
2013,2,2,1837.27,0.05
2013,3,3,2683.15,0.05
2013,4,4,276.572,0.05
2014,1,1,1754.34,0.05
2014,2,2,3553.25,0.05
2014,3,3,3299.67,0.05
2014,4,4,438.975,0.05
2015,1,1,1470.64,0.05
2015,2,2,2424.78,0.05
2015,3,3,1880.44,0.05
2015,4,4,1174.23,0.05
2016,1,1,1351.94,0.05
2016,2,2,2267.34,0.05
2016,3,3,2253.76,0.05
2016,4,4,868.778,0.05
2017,1,1,1051.18,0.05
2017,2,2,2212.82,0.05
2017,3,3,1140.49,0.05
2017,4,4,206.378,0.05
2018,1,1,235.826,0.05
2018,2,2,2391.25,0.05
2018,3,3,1413.97,0.05
2018,4,4,457.768,0.05
2019,1,1,322.281,0.05
2019,2,2,1620.61,0.05
2019,3,3,1889.17,0.05
2019,4,4,981.52,0.05
2020,1,1,1286.49,0.05
2020,2,2,2314.52,0.05
2020,3,3,2603.31,0.05
2020,4,4,1113.03,0.05
2021,1,1,644.267,0.05
2021,2,2,3500.07,0.05
2021,3,3,2794.35,0.05
2021,4,4,622.914,0.05
2022,1,1,531.826,0.05
2022,2,2,2682.18,0.05
2022,3,3,2679.23,0.05
2022,4,4,721.875,0.05
2023,1,1,933,0.05
2023,2,2,3626.32,0.05
2023,3,3,2287.81,0.05
2023,4,4,622.4,0.05
2024,1,1,1316,0.05
2024,2,2,3845,0.05
2024,3,3,2881,0.05
2024,4,4,249,0.05
